Ligand,Super,Pellet,Fibril,Chaperone
0,6935.719,663.435,NM,wt+AMP-PNP
4,6838.962,904.92,NM,wt+AMP-PNP
8,5524.548,1516.284,NM,wt+AMP-PNP
12,5388.255,1304.456,NM,wt+AMP-PNP
20,7105.083,1148.284,NM,wt+AMP-PNP
40,7450.083,1148.284,NM,wt+AMP-PNP
0,5273.77,863.749,NM,wt+AMP-PNP
4,6055.841,934.163,NM,wt+AMP-PNP
8,4895.841,1754.406,NM,wt+AMP-PNP
20,7301.083,1573.113,NM,wt+AMP-PNP
40,5198.012,1214.163,NM,wt+AMP-PNP
0,6733.719,1692.284,NM,deltaN+ATP
4,5837.184,427.435,NM,deltaN+ATP
8,5272.012,945.284,NM,deltaN+ATP
12,5658.891,1022.163,NM,deltaN+ATP
20,6522.619,1968.698,NM,deltaN+ATP
40,6298.012,2094.648,NM,deltaN+ATP
0,6464.083,1746.991,NM,deltaN+ATP
4,5301.548,1282.749,NM,deltaN+ATP
8,7366.154,2444.113,NM,deltaN+ATP
12,5883.134,2008.749,NM,deltaN+ATP
20,5757.891,1499.213,NM,deltaN+ATP
0,4100.355,122.314,NM,wt+ATP
4,3673.87,448.142,NM,wt+ATP
8,4582.82,661.799,NM,wt+ATP
12,4034.406,710.385,NM,wt+ATP
20,5091.82,638.678,NM,wt+ATP
40,2919.577,937.92,NM,wt+ATP
0,4695.82,121.849,NM,wt+ATP
12,7034.548,538.042,NM,wt+ATP
20,4939.234,744.506,NM,wt+ATP
40,5245.82,353.799,NM,wt+ATP
0,5180.134,496.728,NM,wt+Sis1+ATP
4,4926.012,586.749,NM,wt+Sis1+ATP
8,4119.477,339.799,NM,wt+Sis1+ATP
12,5496.355,514.849,NM,wt+Sis1+ATP
20,4803.062,956.92,NM,wt+Sis1+ATP
40,5087.113,1246.92,NM,wt+Sis1+ATP
0,5574.406,415.314,NM,wt+Sis1+ATP
4,4861.527,1203.92,NM,wt+Sis1+ATP
8,4483.698,4483.698,NM,wt+Sis1+ATP
12,6615.012,1604.577,NM,wt+Sis1+ATP
20,3647.284,1186.92,NM,wt+Sis1+ATP
40,4709.577,2055.527,NM,wt+Sis1+ATP
