Ligand,Super,Pellet,Fibril,Cochaperone
0,3077,303,NM,none
0,2981,483,NM,none
0,2128,497,NM,none
4,2780,604,NM,none
4,3124,497,NM,none
4,3071,354,NM,none
8,3363,346,NM,none
8,3582,608,NM,none
8,2938,417,NM,none
12,3168,423,NM,none
12,3204,346,NM,none
12,2339,475,NM,none
20,3649,308,NM,none
20,3747,439,NM,none
20,3575,294,NM,none
40,4213,353,NM,none
40,3032,434,NM,none
40,2770,403,NM,none
0,3385,910,NM,deltaDD
0,3572,900,NM,deltaDD
0,2115,676,NM,deltaDD
4,3395,768,NM,deltaDD
4,3361,432,NM,deltaDD
4,2648,880,NM,deltaDD
8,2817,938,NM,deltaDD
8,4164,770,NM,deltaDD
8,3228,1056,NM,deltaDD
12,3073,714,NM,deltaDD
12,3960,1169,NM,deltaDD
12,3640,1124,NM,deltaDD
20,3274,918,NM,deltaDD
20,3136,1290,NM,deltaDD
20,3019,1118,NM,deltaDD
40,2815,699,NM,deltaDD
40,2860,1404,NM,deltaDD
40,3272,1182,NM,deltaDD
0,3559,763,NM,Sis1
0,2836,787,NM,Sis1
0,2605,519,NM,Sis1
4,3633,906,NM,Sis1
4,2345,1113,NM,Sis1
4,2444,622,NM,Sis1
8,3718,1169,NM,Sis1
8,2491,855,NM,Sis1
8,2308,1037,NM,Sis1
12,3065,1068,NM,Sis1
12,2562,1047,NM,Sis1
12,2641,850,NM,Sis1
20,3303,990,NM,Sis1
20,2418,925,NM,Sis1
20,2744,963,NM,Sis1
40,2809,868,NM,Sis1
40,2571,1066,NM,Sis1
40,2487,998,NM,Sis1
