Ligand,Super,Pellet,Fibril,Chaperone
0,903,572,NM,Sis1
0,448,543,NM,Sis1
0,1309,989,NM,Sis1
4,671,802,NM,Sis1
4,422,879,NM,Sis1
4,374,1874,NM,Sis1
8,87,1657,NM,Sis1
8,131,2395,NM,Sis1
8,182,1611,NM,Sis1
12,20,4157,NM,Sis1
12,276,2761,NM,Sis1
12,65,2419,NM,Sis1
20,66,3720,NM,Sis1
20,56,3845,NM,Sis1
20,74,1765,NM,Sis1
40,60,4008,NM,Sis1
40,100,4389,NM,Sis1
40,132,2193,NM,Sis1
0,4031,2385,NM,deltaDD
0,3994,2479,NM,deltaDD
0,3777,3143,NM,deltaDD
4,3115,2671,NM,deltaDD
4,3624,2946,NM,deltaDD
4,2169,3168,NM,deltaDD
8,2502,5103,NM,deltaDD
8,2351,4432,NM,deltaDD
8,3569,5662,NM,deltaDD
12,911,3328,NM,deltaDD
12,2364,4240,NM,deltaDD
12,2122,3769,NM,deltaDD
20,2595,4513,NM,deltaDD
20,3166,5350,NM,deltaDD
20,3548,4892,NM,deltaDD
40,1843,6698,NM,deltaDD
40,3527,12270,NM,deltaDD
40,1906,5973,NM,deltaDD
0,1966,755,NM,Ydj1
0,2007,872,NM,Ydj1
0,2060,512,NM,Ydj1
4,1683,1171,NM,Ydj1
4,1994,664,NM,Ydj1
4,2038,810,NM,Ydj1
8,2109,636,NM,Ydj1
8,1944,965,NM,Ydj1
8,1720,1219,NM,Ydj1
12,1465,518,NM,Ydj1
12,2100,1037,NM,Ydj1
12,1735,838,NM,Ydj1
20,1411,862,NM,Ydj1
20,951,688,NM,Ydj1
20,1864,1323,NM,Ydj1
40,1019,933,NM,Ydj1
40,1325,817,NM,Ydj1
40,1510,1771,NM,Ydj1
