Ligand,Super,Pellet,Fibril,Chaperone,Replicate
0,4131.983,1249.012,NM,Sis1,2022
4,3619.569,2697.205,NM,Sis1,2022
8,3700.397,2630.225,NM,Sis1,2022
12,1825.669,2990.347,NM,Sis1,2022
20,1786.134,2615.64,NM,Sis1,2022
40,1916.841,6073.439,NM,Sis1,2022
0,15773.995,3861.347,NM,Sis1,2022
4,13852.288,7639.66,NM,Sis1,2022
8,10941.317,13901.652,NM,Sis1,2022
12,8975.51,11422.48,NM,Sis1,2022
20,7138.489,11587.551,NM,Sis1,2022
40,3074.468,9436.024,NM,Sis1,2022
0,5798.347,1367.426,NM,deltaDD,2022
4,6942.731,1695.962,NM,deltaDD,2022
8,6532.832,1571.326,NM,deltaDD,2022
12,6077.125,1685.719,NM,deltaDD,2022
20,5425.125,1123.184,NM,deltaDD,2022
40,5393.296,3282.154,NM,deltaDD,2022
0,4114.669,290.627,NM,deltaDD,2022
4,4509.669,510.456,NM,deltaDD,2022
8,4487.548,827.477,NM,deltaDD,2022
12,4263.841,542.234,NM,deltaDD,2022
20,2885.962,2381.619,NM,deltaDD,2022
40,3664.891,3322.983,NM,deltaDD,2022
