Ligand,Super,Pellet,Fibril,Chaperone
0,10731.439,4931.054,Rnq1,Sis1
0,7039.196,4856.761,Rnq1,Sis1
0,434.456,92.192,Rnq1,Sis1
4,10067.246,4935.054,Rnq1,Sis1
4,12496.024,5203.468,Rnq1,Sis1
4,1018.234,58.364,Rnq1,Sis1
8,9875.903,5905.175,Rnq1,Sis1
8,13853.974,4702.832,Rnq1,Sis1
8,409.627,87.536,Rnq1,Sis1
12,12515.489,5828.882,Rnq1,Sis1
12,11601.246,5301.246,Rnq1,Sis1
12,742.87,151.192,Rnq1,Sis1
20,10926.246,7283.953,Rnq1,Sis1
20,13325.439,5814.953,Rnq1,Sis1
40,8979.631,6854.803,Rnq1,Sis1
40,9105.903,5657.368,Rnq1,Sis1
40,298.92,210.506,Rnq1,Sis1
0,6365.974,3153.497,Rnq1,deltaDD
0,2845.518,1775.255,Rnq1,deltaDD
4,10978.66,5141.811,Rnq1,deltaDD
4,9461.782,3326.811,Rnq1,deltaDD
4,7309.095,57.899,Rnq1,deltaDD
8,10860.711,5792.66,Rnq1,deltaDD
8,8943.125,3927.276,Rnq1,deltaDD
8,5900.439,1670.083,Rnq1,deltaDD
12,13220.731,4872.004,Rnq1,deltaDD
12,10245.267,3481.711,Rnq1,deltaDD
12,12011.631,1580.376,Rnq1,deltaDD
20,12007.024,3879.861,Rnq1,deltaDD
20,8962.196,2860.811,Rnq1,deltaDD
20,18393.551,1213.669,Rnq1,deltaDD
40,9988.761,3044.933,Rnq1,deltaDD
40,19625.137,1726.619,Rnq1,deltaDD
40,14315.731,4695.054,Rnq1,deltaDD
