Ligand,Super,Pellet,Fibril,Chaperone,Replicate
0,1492.134,208.021,wt,Sis1,2021
4,1630.134,689.87,wt,Sis1,2021
8,2072.569,666.113,wt,Sis1,2021
12,2308.104,933.912,wt,Sis1,2021
20,1673.912,2467.255,wt,Sis1,2021
40,935.841,2560.962,wt,Sis1,2021
0,7001.761,770.991,wt,Sis1,2021
4,6412.154,1084.719,wt,Sis1,2021
8,7018.974,1767.083,wt,Sis1,2021
12,4962.782,2040.548,wt,Sis1,2021
20,3684.296,1865.761,wt,Sis1,2021
40,1619.355,2140.376,wt,Sis1,2021
40,1701.376,2213.376,wt,Sis1,2021
20,3418,1712,wt,Sis1,2021
0,2896.69,381.092,M1,Sis1,2021
4,3116.74,503.335,M1,Sis1,2021
8,8555.004,4654.589,M1,Sis1,2021
12,11456.439,5208.832,M1,Sis1,2021
20,8639.246,5747.43,M1,Sis1,2021
40,9825.095,9618.702,M1,Sis1,2021
4,3549.882,1335.598,M1,Sis1,2021
8,1188.841,1011.77,M1,Sis1,2021
12,4700.004,2125.861,M1,Sis1,2021
20,3738.125,2627.933,M1,Sis1,2021
40,2627.933,3110.276,M1,Sis1,2021
0,11501.359,473.627,M2,Sis1,2021
4,11767.56,3089.619,M2,Sis1,2021
8,10109.782,2705.983,M2,Sis1,2021
12,8774.418,3140.154,M2,Sis1,2021
20,7200.054,3433.619,M2,Sis1,2021
40,4777.589,4470.761,M2,Sis1,2021
0,10313.388,981.134,M2,Sis1,2021
4,12744.581,3380.326,M2,Sis1,2021
8,3380.326,1650.962,M2,Sis1,2021
12,9805.468,3428.953,M2,Sis1,2021
20,8785.104,5484.326,M2,Sis1,2021
40,3327.447,2356.861,M2,Sis1,2021
0,4666.296,416.092,M4,Sis1,2021
4,5336.711,554.335,M4,Sis1,2021
8,5848.418,1744.205,M4,Sis1,2021
12,5844.853,1998.912,M4,Sis1,2021
20,4018.569,2567.397,M4,Sis1,2021
40,1886.326,4707.196,M4,Sis1,2021
0,4883.468,471.506,M4,Sis1,2021
4,5309.125,1388.376,M4,Sis1,2021
8,9344.489,3895.054,M4,Sis1,2021
12,7522.125,5433.368,M4,Sis1,2021
20,6108.418,6108.418,M4,Sis1,2021
40,1227.062,3576.953,M4,Sis1,2021
0,7253.146,779.577,M5,Sis1,2021
4,6834.368,1549.497,M5,Sis1,2021
8,6337.66,3448.832,M5,Sis1,2021
12,5395.832,3841.761,M5,Sis1,2021
20,3196.761,5080.711,M5,Sis1,2021
40,1228.548,5073.711,M5,Sis1,2021
0,14983.066,915.698,M5,Sis1,2021
4,6870.56,1602.083,M5,Sis1,2021
8,8814.974,1355.255,M5,Sis1,2021
12,8981.196,2251.983,M5,Sis1,2021
20,6520.489,4122.054,M5,Sis1,2021
40,4147.518,4230.811,M5,Sis1,2021
0,10723.418,990.355,deltaBS,Sis1,2021
4,9953.66,1297.598,deltaBS,Sis1,2021
8,7495.004,1555.69,deltaBS,Sis1,2021
12,5826.903,1564.811,deltaBS,Sis1,2021
20,4994.418,4653.861,deltaBS,Sis1,2021
40,2953.619,6331.205,deltaBS,Sis1,2021
0,13960.631,1614.598,deltaBS,Sis1,2021
4,11565.317,3232.104,deltaBS,Sis1,2021
8,11587.853,11565.317,deltaBS,Sis1,2021
12,9441.217,3423.146,deltaBS,Sis1,2021
20,9872.409,4639.246,deltaBS,Sis1,2021
40,4132.125,6907.104,deltaBS,Sis1,2021
0,4131.983,1249.012,wt,Sis1,2022
4,3619.569,2697.205,wt,Sis1,2022
8,3700.397,2630.225,wt,Sis1,2022
12,1825.669,2990.347,wt,Sis1,2022
20,1786.134,2615.64,wt,Sis1,2022
40,1916.841,6073.439,wt,Sis1,2022
0,15773.995,3861.347,wt,Sis1,2022
4,13852.288,7639.66,wt,Sis1,2022
8,10941.317,13901.652,wt,Sis1,2022
12,8975.51,11422.48,wt,Sis1,2022
20,7138.489,11587.551,wt,Sis1,2022
40,3074.468,9436.024,wt,Sis1,2022
0,5798.347,1367.426,wt,deltaDD,2022
4,6942.731,1695.962,wt,deltaDD,2022
8,6532.832,1571.326,wt,deltaDD,2022
12,6077.125,1685.719,wt,deltaDD,2022
20,5425.125,1123.184,wt,deltaDD,2022
40,5393.296,3282.154,wt,deltaDD,2022
0,4114.669,290.627,wt,deltaDD,2022
4,4509.669,510.456,wt,deltaDD,2022
8,4487.548,827.477,wt,deltaDD,2022
12,4263.841,542.234,wt,deltaDD,2022
20,2885.962,2381.619,wt,deltaDD,2022
40,3664.891,3322.983,wt,deltaDD,2022
